id	County	rgo_code	RGOCodeSt	rgo_code_no	name	SPMMMSANAME		Color
20097	Kiowa County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20099	Labette County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20101	Lane County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20105	Lincoln County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20109	Logan County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20111	Lyon County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20113	McPherson County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20115	Marion County	KS03	KS	03	South Central Kansas Economic Development District	0	#N/A	#A3C3D9
20117	Marshall County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20119	Meade County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20123	Mitchell County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20125	Montgomery County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20127	Morris County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20129	Morton County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20131	Nemaha County	KS99	KS	99	None	0	#N/A	#383B41
20133	Neosho County	KS04	KS	04	Southeast Kansas Regional Planning Commission	0	#N/A	#CCD6EB
20135	Ness County	KS05	KS	05	Great Plains Development Inc	0	#N/A	#E9ECF5
20137	Norton County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20141	Osborne County	KS06	KS	06	Northwest Kansan Planning and Development Commission	0	#N/A	#2A1018
20143	Ottawa County	KS02	KS	02	North Central Regional Planning Commission	0	#N/A	#AE76A6
20145	Pawnee County	KS99	KS	99	Great Plains Development Inc	0	#N/A	#383B41
